Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Zumaya,Critically endangered,25,10.5323,14.3591,1,Cameroon
Kashaya,Critically endangered,24,38.6603,-123.3045,1,United States of America
Kavalan,Critically endangered,24,24.7393,121.6996,1,China
Wardaman,Severely endangered,24,-14.9925,131.9293,1,Australia
Washo,Severely endangered,24,38.9226,-119.7256,1,United States of America
Kuku Yalanji,Severely endangered,23,-15.8148,144.9316,1,Australia
Sām,Severely endangered,23,27.3595,86.9979,1,Nepal
Alawa,Critically endangered,22,-16.4676,134.0771,1,Australia
Tobian,Critically endangered,22,2.9594,131.8084,1,Palau
Bara (Brazil),Vulnerable,21,0.3515,-68.9721,1,Brazil
Ixcatec,Critically endangered,21,17.8493,-97.181,1,Mexico
Añu,Critically endangered,20,11.022,-71.7352,1,Venezuela (Bolivarian Republic of)
Barzani Jewish Neo-Aramaic (Israel),Critically endangered,20,31.7888,35.1947,1,Israel
Bom,Severely endangered,20,7.3188,-11.9915,1,Sierra Leone
Bundjalung,Severely endangered,20,-28.9998,152.9077,1,Australia
Chung (Cambodia),Critically endangered,20,10.6875,103.8084,1,Cambodia
Dusner,Critically endangered,20,-2.7139,134.3888,1,Indonesia
Forest Enets,Critically endangered,20,68.6836,86.2727,1,Russian Federation
Hermit,Critically endangered,20,-2.0869,146.9311,1,Papua New Guinea
Jawoyn,Severely endangered,20,-14.2004,132.55,1,Australia
Kamasa,Critically endangered,20,-6.95,146.2,1,Papua New Guinea
Kanakanabu,Critically endangered,20,23.1463,120.6782,1,China
Kembra,Critically endangered,20,-3.908,140.3942,1,Indonesia
Kilen,Critically endangered,20,47.4689,133.8574,2,"China, Russian Federation"
Kim,Critically endangered,20,7.2425,-11.9476,1,Sierra Leone
Koko Bera,Severely endangered,20,-15.6865,141.5917,1,Australia
Kulina Páno,Severely endangered,20,-5.6597,-71.5429,1,Brazil
Leco,Critically endangered,20,-15.586,-67.9064,1,Bolivia (Plurinational State of)
Loun,Critically endangered,20,-2.8717,128.8366,1,Indonesia
Mander,Critically endangered,20,-2.4341,138.7284,1,Indonesia
Mangarla,Critically endangered,20,-20.159,122.6513,1,Australia
Maringarr,Critically endangered,20,-14.1525,129.6166,1,Australia
Nataoran,Critically endangered,20,24.0088,121.5898,1,China
Nez Perce,Critically endangered,20,46.4347,-116.8268,1,United States of America
Nisvai,Critically endangered,20,-16.4492,167.7117,1,Vanuatu
Nyamal,Severely endangered,20,-21.4019,119.3225,1,Australia
Nyikina,Severely endangered,20,-18.2613,124.6179,1,Australia
Panamint,Critically endangered,20,36.4555,-116.8666,1,United States of America
Pite Saami,Critically endangered,20,66.0447,17.8857,2,"Norway, Sweden"
Qawasqar,Critically endangered,20,-49.6391,-74.3554,1,Chile
Red Gelao (Viet Nam),Critically endangered,20,23.1666,105.25,1,Viet Nam
Somyev,Critically endangered,20,6.9318,11.5136,2,"Cameroon, Nigeria"
Ume Saami,Critically endangered,20,65.1091,18.2153,1,Sweden
Usku,Critically endangered,20,-3.5449,140.7499,1,Indonesia
Vote,Critically endangered,20,59.5858,28.4518,1,Russian Federation
Wajarri,Severely endangered,20,-26.8841,116.6748,1,Australia
Wambaya,Critically endangered,20,-17.7696,134.923,1,Australia
Warekena (Brazil),Critically endangered,20,0.7909,-68.3789,1,Brazil
White Gelao (Viet Nam),Severely endangered,20,23.2,105.3333,1,Viet Nam
Uruak,Critically endangered,19,3.9957,-63.5888,1,Venezuela (Bolivarian Republic of)
Pacahuara,Critically endangered,18,-11.4369,-65.6762,1,Bolivia (Plurinational State of)
Ririo,Critically endangered,18,-6.91,156.9671,1,Solomon Islands
Ava-Canoeiro,Critically endangered,16,-14.0847,-48.0418,1,Brazil
